name,address,latitude,longitude,hours,website,phone,cuisine,source,maps_link
Bluff Park Diner,"Bluff Park Diner, Shades Crest Road, Highland Crest, Crest Estates, Hoover, Jefferson County, Alabama, 35244, United States",33.4119171,-86.8561496,,https://www.bluffparkdiner.com/,,,https://www.openstreetmap.org/node/7708948186,https://www.google.com/maps/search/?api=1&query=Bluff%20Park%20Diner%2033.4119171%2C-86.8561496
Bob Sykes Bar-B-Q,"1724 9th Ave N, Bessemer, AL 35020",,,,https://www.bobsykes.com,(205) 426-1400,Barbecue,BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=Bob%20Sykes%20Bar-B-Q%201724%209th%20Ave%20N%2C%20Bessemer%2C%20AL%2035020
Bocca Ristorante,"2212 Morris Ave, Birmingham, AL 35203",,,,https://www.boccabirmingham.com,,Italian,BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=Bocca%20Ristorante%202212%20Morris%20Ave%2C%20Birmingham%2C%20AL%2035203
Bongiorno Italian Restaurant,"68 Church St, Mountain Brook, AL 35213",,,,https://www.bongiornoitalianrestaurant.com,(205) 879-5947,Italian,BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=Bongiorno%20Italian%20Restaurant%2068%20Church%20St%2C%20Mountain%20Brook%2C%20AL%2035213
Boston Fish Supreme,"1363 Bessemer Road, Birmingham, AL, 35208",33.4814217,-86.8935588,Mo-Th 10:00-23:00; Fr 10:00-01:00; Sa 10:00-24:00; Su 11:00-22:00,,-11009,seafood,https://www.openstreetmap.org/way/759524044,https://www.google.com/maps/search/?api=1&query=Boston%20Fish%20Supreme%2033.4814217%2C-86.8935588
Bottega Restaurant & Cafe,"2240 Highland Ave S, Birmingham, AL 35205",,,,https://bottegarestaurant.com,205-939-1000,Italian / Mediterranean,BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=Bottega%20Restaurant%20%26%20Cafe%202240%20Highland%20Ave%20S%2C%20Birmingham%2C%20AL%2035205
Boxcar Cafe,"Boxcar Cafe, 1st Avenue South, Fourth Avenue Historic District, Birmingham, Jefferson County, Alabama, 35222, United States",33.5101761,-86.8086018,,,,,https://www.openstreetmap.org/node/6228590440,https://www.google.com/maps/search/?api=1&query=Boxcar%20Cafe%2033.5101761%2C-86.8086018
Brick & Tin,"2901 Cahaba Road, Birmingham, AL, 35223",33.4821076,-86.7723126,,https://brickandtin.com/,(205) 502-7971,american,https://www.openstreetmap.org/node/5864649587,https://www.google.com/maps/search/?api=1&query=Brick%20%26%20Tin%2033.4821076%2C-86.7723126
BrickTop's,"BrickTop's, US 280, Homewood, Jefferson County, Alabama, 35200, United States",33.4761414,-86.7721524,,https://bricktops.com/birmingham,,american,https://www.openstreetmap.org/node/6219878025,https://www.google.com/maps/search/?api=1&query=BrickTop's%2033.4761414%2C-86.7721524
Brock's,"4000 Grand Avenue, AL",33.3925849,-86.880393,,,,,https://www.openstreetmap.org/node/5764356998,https://www.google.com/maps/search/?api=1&query=Brock's%2033.3925849%2C-86.880393
Buffalo Wild Wings,"1418 4th Avenue South, Birmingham, AL, 35233",33.5058256,-86.8097464,"Mo, We, Su 10:00-21:00; Tu, Th, Fr, Sa 10:00-22:00",https://www.buffalowildwings.com/en/locations/detail/3850/,-591,wings,https://www.openstreetmap.org/node/7837479758,https://www.google.com/maps/search/?api=1&query=Buffalo%20Wild%20Wings%2033.5058256%2C-86.8097464
Cafe Dupont,"113 20th St N, Birmingham, AL 35203",,,,https://www.cafedupont.net,205-322-1282,Fine Dining / Southern,BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=Cafe%20Dupont%20113%2020th%20St%20N%2C%20Birmingham%2C%20AL%2035203
Cajun Steamer Bar and Grill,"Cajun Steamer Bar and Grill, Roosevelt Boulevard, Trussville, Jefferson County, Alabama, 35235, United States",33.6050477,-86.6439049,,,,cajun,https://www.openstreetmap.org/node/2089099469,https://www.google.com/maps/search/?api=1&query=Cajun%20Steamer%20Bar%20and%20Grill%2033.6050477%2C-86.6439049
Cantina Laredo,"Cantina Laredo, Richard Arrington Jr Boulevard North, Birmingham, Jefferson County, Alabama, 35234, United States",33.526188,-86.8078613,,,,mexican,https://www.openstreetmap.org/node/5889497210,https://www.google.com/maps/search/?api=1&query=Cantina%20Laredo%2033.526188%2C-86.8078613
Capella Pizzeria,"4700 US-280 E, Ste 13, Birmingham, AL 35242",,,,https://capellapizzeria.com,(205) 438-6108,"Pizza, Italian",BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=Capella%20Pizzeria%204700%20US-280%20E%2C%20Ste%2013%2C%20Birmingham%2C%20AL%2035242
Cappella Pizzeria,"Cappella Pizzeria, Gadsden Highway, Trussville, Jefferson County, Alabama, 35235, United States",33.6093682,-86.6252378,,,,pizza,https://www.openstreetmap.org/node/12779298187,https://www.google.com/maps/search/?api=1&query=Cappella%20Pizzeria%2033.6093682%2C-86.6252378
Carlile’s BBQ,"3511 6th Ave S, Birmingham, AL 35222",,,,http://www.carlilesbarbecue.com,(205) 328-3131,Barbecue,BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=Carlile%E2%80%99s%20BBQ%203511%206th%20Ave%20S%2C%20Birmingham%2C%20AL%2035222
Carrabba's Italian Grill,"Carrabba's Italian Grill, Cahaba River Road, Cahaba Commons, Birmingham, Shelby County, Alabama, 35261, United States",33.4285005,-86.7109523,,,,italian,https://www.openstreetmap.org/way/819609576,https://www.google.com/maps/search/?api=1&query=Carrabba's%20Italian%20Grill%2033.4285005%2C-86.7109523
Carrigan's Public House,"2430 Morris Ave, Birmingham, AL 35203",,,,https://www.carrigans.com/,(205) 315-0749,Gastropub / American,BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=Carrigan's%20Public%20House%202430%20Morris%20Ave%2C%20Birmingham%2C%20AL%2035203
Casa Fiesta Mexican Grill,"Casa Fiesta Mexican Grill, Pinnacle Square, Pinnacle, Trussville, Jefferson County, Alabama, 35235, United States",33.6035041,-86.6434833,,https://www.casafiestamexican.com/,,mexican,https://www.openstreetmap.org/node/12193350771,https://www.google.com/maps/search/?api=1&query=Casa%20Fiesta%20Mexican%20Grill%2033.6035041%2C-86.6434833
Castle Pines Country Club Restaurant,"Castle Pines Country Club Restaurant, Quail Ridge Drive, Gardendale, Jefferson County, Alabama, 35071, United States",33.6610773,-86.7838766,,,,,https://www.openstreetmap.org/node/4849807536,https://www.google.com/maps/search/?api=1&query=Castle%20Pines%20Country%20Club%20Restaurant%2033.6610773%2C-86.7838766
Cayo Coco,"2015 1st Ave N, Birmingham, AL 35203",,,,https://cayococorumbar.com,(205) 703-9001,Caribbean / Latin,BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=Cayo%20Coco%202015%201st%20Ave%20N%2C%20Birmingham%2C%20AL%2035203
Cedar House Cafeteria,"1001 Cedar St, Birmingham, AL 35217",,,,https://cedarhousecafeteria.com/,(205) 841-1001,Southern / Cafeteria,BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=Cedar%20House%20Cafeteria%201001%20Cedar%20St%2C%20Birmingham%2C%20AL%2035217
CharBar No. 7,"611 Doug Baker Blvd, Birmingham, AL 35242",,,,https://charbar7.com/,,American Grill,BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=CharBar%20No.%207%20611%20Doug%20Baker%20Blvd%2C%20Birmingham%2C%20AL%2035242
Chez Fonfon,"2007 11th Ave S, Birmingham, AL 35205",,,,https://www.fonfonbham.com,205-939-3221,French Bistro,BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=Chez%20Fonfon%202007%2011th%20Ave%20S%2C%20Birmingham%2C%20AL%2035205
Chez Lulu,"1911 Cahaba Rd, Birmingham, AL 35223",,,,https://www.chezlulu.us,(205) 870-7011,"French, Café",BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=Chez%20Lulu%201911%20Cahaba%20Rd%2C%20Birmingham%2C%20AL%2035223
Chili's,"Chili's, Howell Street, Fultondale, Jefferson County, Alabama, 35068, United States",33.6077366,-86.8073494,,,,tex-mex,https://www.openstreetmap.org/way/885665705,https://www.google.com/maps/search/?api=1&query=Chili's%2033.6077366%2C-86.8073494
China Master,"China Master, 1802, 6th Avenue South, Automotive Historic District, Five Points South, Birmingham, Jefferson County, Alabama, 35233, United States",33.5075633,-86.8045296,,,,chinese,https://www.openstreetmap.org/node/5962333209,https://www.google.com/maps/search/?api=1&query=China%20Master%2033.5075633%2C-86.8045296
China Moon,"3310 Clairmont Avenue South, Birmingham, AL, 35222",33.513089,-86.7807143,"Mo-Th 10:30-22:00; Fr, Sa 10:30-22:30; Su off",,-2860,chinese,https://www.openstreetmap.org/node/6967654318,https://www.google.com/maps/search/?api=1&query=China%20Moon%2033.513089%2C-86.7807143
China Way,"5220 Oporto Madrid Blvd S, Birmingham, AL 35210",,,,http://www.chinawayal.com/,(205) 595-5300,Chinese,BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=China%20Way%205220%20Oporto%20Madrid%20Blvd%20S%2C%20Birmingham%2C%20AL%2035210
Chocolatá,"701 37th St S #5, Birmingham, AL 35222",,,,https://www.chocolatachocolate.com,205-215-0416,Chocolates / Dessert,BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=Chocolat%C3%A1%20701%2037th%20St%20S%20%235%2C%20Birmingham%2C%20AL%2035222
Chow Town,"Chow Town, Old Columbiana Road, Forest Ridge Estates, Hoover, Jefferson County, Alabama, 35226, United States",33.3923881,-86.8076984,,,,asian,https://www.openstreetmap.org/node/11943406699,https://www.google.com/maps/search/?api=1&query=Chow%20Town%2033.3923881%2C-86.8076984
Chubbfathers,"600 1st St S, Alabaster, AL 35007",,,,(search: “Chubbfathers Alabaster”),(205) 685-0950,Burgers / American,BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=Chubbfathers%20600%201st%20St%20S%2C%20Alabaster%2C%20AL%2035007
Chuck E. Cheese,"Chuck E. Cheese, Old Town Road, Panorama, Vestavia Hills, Jefferson County, Alabama, 35216, United States",33.4196677,-86.7981176,,https://locations.chuckecheese.com/us/al/birmingham/500-old-town-rd.,,pizza,https://www.openstreetmap.org/way/827140524,https://www.google.com/maps/search/?api=1&query=Chuck%20E.%20Cheese%2033.4196677%2C-86.7981176
Chuck E. Cheese's,"4647 Highway 280, Birmingham, AL, 35242",33.4263303,-86.7017314,"Su-Th 11:00-20:00; Fr, Sa 11:00-21:00",https://locations.chuckecheese.com/us/al/birmingham/4647-hwy.-280,-3690,pizza,https://www.openstreetmap.org/node/7579027410,https://www.google.com/maps/search/?api=1&query=Chuck%20E.%20Cheese's%2033.4263303%2C-86.7017314
Chuy's,"Chuy's, Summit Boulevard, The Summit, Birmingham, Jefferson County, Alabama, 35243, United States",33.4467321,-86.732545,,https://www.chuys.com/locations/alabama/birmingham,,tex-mex,https://www.openstreetmap.org/node/5857345548,https://www.google.com/maps/search/?api=1&query=Chuy's%2033.4467321%2C-86.732545
Cookie Dough Magic,"Cookie Dough Magic, Beech Street, Trussville, Jefferson County, Alabama, 35173, United States",33.6181924,-86.6087468,,,,dessert,https://www.openstreetmap.org/node/12878161147,https://www.google.com/maps/search/?api=1&query=Cookie%20Dough%20Magic%2033.6181924%2C-86.6087468
Costa's Famous Bar-B-Que,"344 Valley Ave, Birmingham, AL 35209",33.6079356,-86.6878157,,https://www.costasfamous.com,,Barbecue/Greek,BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=Costa's%20Famous%20Bar-B-Que%20344%20Valley%20Ave%2C%20Birmingham%2C%20AL%2035209
Costa's Mediterranean Cafe,"Costa's Mediterranean Cafe, Lornaridge Lane, Forest Ridge Estates, Patton Chapel, Hoover, Jefferson County, Alabama, 35216, United States",33.3909675,-86.7964576,,,,greek,https://www.openstreetmap.org/way/808122501,https://www.google.com/maps/search/?api=1&query=Costa's%20Mediterranean%20Cafe%2033.3909675%2C-86.7964576
Cracker Barrel,"Cracker Barrel, Colonnade Parkway, Birmingham, Jefferson County, Alabama, 35243, United States",33.438997,-86.7283673,,,,american,https://www.openstreetmap.org/way/679138149,https://www.google.com/maps/search/?api=1&query=Cracker%20Barrel%2033.438997%2C-86.7283673
Creekside BBQ,"4000 Eagle Point Corporate Dr, Birmingham, AL 35242",,,,(search: “Creekside BBQ Eagle Point”),(205) 855-3040,Barbecue,BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=Creekside%20BBQ%204000%20Eagle%20Point%20Corporate%20Dr%2C%20Birmingham%2C%20AL%2035242
Crestline Bagel,"Crestline Bagel, Crosshaven Drive, Overton Manor, Asbury Park, Cahaba Heights, Vestavia Hills, Jefferson County, Alabama, 35243, United States",33.4559629,-86.7306488,,https://www.crestlinebagel.com/,,bagel,https://www.openstreetmap.org/way/746054629,https://www.google.com/maps/search/?api=1&query=Crestline%20Bagel%2033.4559629%2C-86.7306488
Crestwood Tavern,"5500 Crestwood Blvd, Birmingham, AL 35212",,,,https://thecrestwoodtavern.com/,(205) 510-0053,Bar Food / American,BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=Crestwood%20Tavern%205500%20Crestwood%20Blvd%2C%20Birmingham%2C%20AL%2035212
Culinard,"Culinard, 1st Avenue North, Fourth Avenue Historic District, Birmingham, Jefferson County, Alabama, 35206, United States",33.5116607,-86.8121354,,,,international,https://www.openstreetmap.org/node/1192048267,https://www.google.com/maps/search/?api=1&query=Culinard%2033.5116607%2C-86.8121354
Customs cafe,"Customs cafe, Data Drive, Chace Lake, Hoover, Jefferson County, Alabama, 35244, United States",33.3698961,-86.7968644,,https://www.customscafeal.com,,,https://www.openstreetmap.org/node/8426805805,https://www.google.com/maps/search/?api=1&query=Customs%20cafe%2033.3698961%2C-86.7968644
Daddy Hot Bird,"2721 5th Ave S, Birmingham, AL 35233",,,,,,Chicken / Southern,BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=Daddy%20Hot%20Bird%202721%205th%20Ave%20S%2C%20Birmingham%2C%20AL%2035233
Daniel George,"2837 Culver Rd, Mountain Brook, AL 35223",33.4826009,-86.7719369,,https://www.danielgeorgerestaurant.com/,,american,https://www.openstreetmap.org/node/5864649586,https://www.google.com/maps/search/?api=1&query=Daniel%20George%2033.4826009%2C-86.7719369
Dave & Buster's,"3000 Galleria Circle, Birmingham, AL, 35244",33.3791348,-86.8080476,"Su-Th 11:00-24:00; Fr,Sa 11:00-02:00",https://www.daveandbusters.com/locations/birmingham,-7390,american,https://www.openstreetmap.org/node/7131738911,https://www.google.com/maps/search/?api=1&query=Dave%20%26%20Buster's%2033.3791348%2C-86.8080476
Davenport's Pizza Palace,"2837 Cahaba Rd, Mountain Brook, AL 35223",33.4824766,-86.772837,,https://www.davenportspizza.com,205-879-8603,Pizza,BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=Davenport's%20Pizza%20Palace%202837%20Cahaba%20Rd%2C%20Mountain%20Brook%2C%20AL%2035223
Demitri’s BBQ,"1901 28th Ave S, Homewood, AL 35209",,,,demetrisbbq.com,(205) 871-1581,Barbecue,BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=Demitri%E2%80%99s%20BBQ%201901%2028th%20Ave%20S%2C%20Homewood%2C%20AL%2035209
Diplomat Deli,"1425 Montgomery Hwy #121, Vestavia Hills, AL 35216",,,,https://diplomatdeli.com,(205) 979-1515,Deli / Sandwiches,BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=Diplomat%20Deli%201425%20Montgomery%20Hwy%20%23121%2C%20Vestavia%20Hills%2C%20AL%2035216
Dos Hermanos,"211 West Valley Ave, Birmingham, AL 35209",,,,,(205) 518-5219,Mexican,BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=Dos%20Hermanos%20211%20West%20Valley%20Ave%2C%20Birmingham%2C%20AL%2035209
Dos Hermanos (Taco Truck),"211 W Valley Ave, Homewood, AL 35209 (primary truck)",,,,,205-424-4530,Mexican Street Tacos,BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=Dos%20Hermanos%20(Taco%20Truck)%20211%20W%20Valley%20Ave%2C%20Homewood%2C%20AL%2035209%20(primary%20truck)
Dreamland Bar-B-Que,1427 14th Avenue South,33.494035,-86.8026743,,https://www.dreamlandbbq.com/content/Dreamlandbbq/CustomPages/locations/Birmingham.htm,,barbecue,https://www.openstreetmap.org/node/2397519600,https://www.google.com/maps/search/?api=1&query=Dreamland%20Bar-B-Que%2033.494035%2C-86.8026743
Dreamland BBQ,"1427 14th Ave S, Birmingham, AL 35205",33.4192364,-86.6945034,,https://dreamlandbbq.com,(205) 933-2133,Barbecue,BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=Dreamland%20BBQ%201427%2014th%20Ave%20S%2C%20Birmingham%2C%20AL%2035205
Dreamland BBQ (Southside),"1427 14th Ave S, Birmingham, AL 35205",,,,https://dreamlandbbq.com,,Barbecue,BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=Dreamland%20BBQ%20(Southside)%201427%2014th%20Ave%20S%2C%20Birmingham%2C%20AL%2035205
Drift Kitchen,"2201 7th Ave S, Birmingham, AL 35233",,,,https://www.continentaldriftbham.com,,Italian / Small Plates,BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=Drift%20Kitchen%202201%207th%20Ave%20S%2C%20Birmingham%2C%20AL%2035233
Dyron's Lowcountry,"121 Oak St, Mountain Brook, AL 35213",,,,,(205) 834-8257,Southern / Seafood,BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=Dyron's%20Lowcountry%20121%20Oak%20St%2C%20Mountain%20Brook%2C%20AL%2035213
